age,workclass,final_weight,education,education-num,marital-status,occupation,relationship,race,sex,cap-gain,cap-loss,hours-per-week,area
-0.25,4.0,-1.1838723746896598,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
0.3,4.0,-0.6408609004898342,12.0,14.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0
-0.85,0.0,-0.470643494598403,11.0,9.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,-2.4,10.0
0.15,2.0,-1.2882724954707105,15.0,10.0,0.0,14.0,4.0,4.0,1.0,6849.0,0.0,0.0,10.0
-0.65,4.0,-0.5403274508488224,9.0,13.0,4.0,10.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0
0.7,4.0,0.4971650003355029,11.0,9.0,2.0,13.0,0.0,4.0,1.0,7298.0,0.0,2.0,10.0
0.35,4.0,1.1063124874186405,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
0.8,4.0,-0.47737871569482654,15.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,3.0,10.0
0.35,5.0,0.11202442461249412,12.0,14.0,2.0,10.0,0.0,4.0,1.0,0.0,2415.0,3.0,10.0
-0.45,0.0,-0.2408072200228142,15.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,-4.0,7.0
-0.25,4.0,-0.5451251425887406,9.0,13.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
0.7,4.0,-0.9640005368046702,12.0,14.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.4,4.0,-0.02195866604039455,9.0,13.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0
-0.75,4.0,-1.1751409112259277,7.0,12.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,-1.0,10.0
1.15,0.0,0.6141045427095215,11.0,9.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,-1.0,7.0
-0.15,0.0,1.1647235455948466,15.0,10.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,-4.0,10.0
0.85,2.0,0.07152922230423404,15.0,10.0,2.0,14.0,0.0,2.0,1.0,0.0,0.0,-2.0,10.0
-0.9,4.0,1.9837868214453467,11.0,9.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0
1.2,4.0,-0.7740807220022814,7.0,12.0,2.0,12.0,0.0,4.0,1.0,15024.0,0.0,0.0,10.0
0.45,4.0,-0.24842313628128565,11.0,9.0,2.0,6.0,0.0,4.0,1.0,0.0,1740.0,-1.0,10.0
